volumeto,high,low,time,volumefrom,close,open
41492549.59,277.58,236.41,1443916800,171938.89,246.14,238.58
36023185.72,247.28,241.34,1444176000,147327.22,244.04,246.14
29741253.35,248.26,242.89,1444435200,120775.9,245.35,244.04
51529687.63,256.76,243.11,1444694400,205099.08,254.44,245.35
69522843.08,275.41,253.93,1444953600,261285.66,261.67,254.44
51560003.5,272.17,259.89,1445212800,193209.79,267.11,261.67
61579331.43,283.05,266.8,1445472000,222608.89,282.56,267.11
84744158.23,298.43,279.62,1445731200,292975.35,294.66,282.56
129108447.78,334.92,294.02,1445990400,411817.23,327.12,294.66
134054037.49,365.75,304.6,1446249600,402639.44,359.28,327.12
514918358.37,492.8,354.58,1446508800,1242679.87,382.7,359.28
170324770.66,396.35,348.84,1446768000,452657.18,371.56,382.7
205048919.84,385.11,292.38,1447027200,599786.68,304.71,371.56
110437225.02,369.8,306.07,1447286400,332971,331.77,304.71
89845968.57,342.91,314.06,1447545600,273708.1,333.91,331.77
89828239.85,337.39,309.48,1447804800,274715.31,321.12,333.91
40407652.79,328.42,318.37,1448064000,124479.96,322.12,321.12
114879708.75,368.92,315.54,1448323200,339721.38,353.74,322.12
81489605.73,372.84,345.15,1448582400,227016.81,370.84,353.74
122615928.13,382.56,347.16,1448841600,334121.5,359.98,370.84
96931995.6,390.28,354.31,1449100800,262972.17,386.69,359.98
119714576.28,411.07,381.69,1449360000,302968.72,410.67,386.69
167518027.15,453.37,403.26,1449619200,394082.96,449.83,410.67
216805460.13,467.71,403.69,1449878400,494504.16,442,449.83
162592721.34,465.16,437.37,1450137600,356860.33,455.53,442
121069596.15,466.12,431.1,1450396800,266251,441.78,455.53
109993101.09,445.54,423.99,1450656000,251023.46,442.43,441.78
143913391.72,460.62,400.45,1450915200,330577.1,415.37,442.43
87401388.86,433.56,406.09,1451174400,206572.72,431.92,415.37
77381981.85,437.95,417.14,1451433600,180456.49,433.99,431.92
61000951.78,437.43,423.09,1451692800,141404.52,433.32,433.99
96455538.69,457.54,425,1451952000,218659.34,457.05,433.32
79339595.95,462.92,438.62,1452211200,175571.84,446.19,457.05
84797076.81,451.08,420.39,1452470400,193213.39,432.18,446.19
195306449.63,433.74,350.39,1452729600,498276.27,385.04,432.18
77428725.18,390.72,373.21,1452988800,201735.91,379.46,385.04
170687649.42,425.72,374.05,1453248000,425112.13,382.65,379.46
76471754.05,405.4,380.27,1453507200,193577.93,392.76,382.65
69399684.91,397.74,376.71,1453766400,177803.39,379.69,392.76
